iter	MultiClass
254	0.2685834454
255	0.2682449243
256	0.2680525721
257	0.2677695476
258	0.2674638046
259	0.2672663393
260	0.2670058155
261	0.2668069698
262	0.2665413303
263	0.2663411338
264	0.2661009499
265	0.2659025355
266	0.2655877899
267	0.2653921825
268	0.265195823
269	0.2649303676
270	0.2645004179
271	0.2642423757
272	0.2639378898
273	0.2637728279
274	0.2635207062
275	0.2633089148
276	0.2630810104
277	0.2628198754
278	0.2625839349
279	0.2624419715
280	0.2621893456
281	0.2618758696
282	0.2615162009
283	0.2612474642
284	0.2609332131
285	0.2606695805
286	0.2603490336
287	0.2599353564
288	0.2596650693
289	0.2594460605
290	0.2591680013
291	0.2589266155
292	0.2587065047
293	0.258454263
294	0.2582306186
295	0.2579992241
296	0.2577583694
297	0.2575035331
298	0.2572188335
299	0.2570026565
300	0.256815089
301	0.2566015801
302	0.2563200037
303	0.2561450081
304	0.2559164085
305	0.2557179802
306	0.2554917799
307	0.2551666114
308	0.2549911133
309	0.2547351207
310	0.2544165099
311	0.2541555675
312	0.2539554012
313	0.2537666265
314	0.2534725267
315	0.2532507118
316	0.2529681901
317	0.2526687647
318	0.2524737343
319	0.2522373547
320	0.2520671312
321	0.251868868
322	0.2517391125
323	0.2515643945
324	0.2513431856
325	0.2511433616
326	0.2508785674
327	0.250696973
328	0.2504834657
329	0.2503236357
330	0.2501453488
331	0.249945233
332	0.2497847033
333	0.2496307587
334	0.2493704005
335	0.2491144887
336	0.2489008139
337	0.248709962
338	0.2484296915
339	0.248234684
340	0.2480472257
341	0.2478898741
342	0.247696031
343	0.2473616831
344	0.2472055552
345	0.2469606253
346	0.2467698733
347	0.2465973068
348	0.2464256488
349	0.2461930124
350	0.2459646912
351	0.245772428
352	0.2456314065
353	0.2454030195
354	0.2452661956
355	0.2451646122
356	0.2449699324
357	0.2448463921
358	0.2446754608
359	0.24443508
360	0.2442868589
361	0.244060387
362	0.243774581
363	0.2435614183
364	0.2434285517
365	0.2432668508
366	0.2430442583
367	0.2428941614
368	0.2427471272
369	0.2425499267
370	0.2422781975
371	0.2420932709
372	0.2418459276
373	0.2416282679
374	0.2414207587
375	0.2412620155
376	0.2411281421
377	0.2409316004
378	0.2408129322
379	0.2406258996
380	0.2404416265
381	0.2402948392
382	0.2401186978
383	0.2399822907
384	0.2398531439
385	0.2396985838
386	0.2395464673
387	0.2393895926
388	0.2391717208
389	0.2390212549
390	0.2388025199
391	0.2386383759
392	0.2384518552
393	0.2382817872
394	0.2380187428
395	0.2378304064
396	0.2376609178
397	0.2374880726
398	0.2372658848
399	0.237016662
400	0.2369090302
401	0.2366523818
402	0.2364678722
403	0.2363243398
404	0.2361972704
405	0.2360218237
406	0.2358118516
407	0.2355351865
408	0.2352877664
409	0.2350776972
410	0.2348719571
411	0.2347164877
412	0.234535879
413	0.2342917755
414	0.2340318831
415	0.2338549168
416	0.2337282688
417	0.2334889797
418	0.2332421941
419	0.2330422257
420	0.2327047174
421	0.2325038594
422	0.2323276335
423	0.2321348042
424	0.231978599
425	0.2317610417
426	0.231604412
427	0.2314734024
428	0.2313106499
429	0.2311308056
430	0.2308600953
431	0.2306500686
432	0.2304641408
433	0.2303130723
434	0.2301762792
435	0.2299671164
436	0.2297640477
437	0.2295842456
438	0.2294350665
439	0.2292249407
440	0.2290448222
441	0.2289105715
442	0.2287447392
443	0.2284841263
444	0.2283788467
445	0.2281745487
446	0.2280387863
447	0.2278843452
448	0.2277149148
449	0.2275308799
450	0.2273652263
451	0.2271022494
452	0.226958034
453	0.2268451378
454	0.2266128222
455	0.2264882941
456	0.2263212694
457	0.2262204269
458	0.2259952839
459	0.2257525228
460	0.2255906104
461	0.2254144423
462	0.2252310992
463	0.2251092496
464	0.2250224979
465	0.2248223795
466	0.2246171502
467	0.2243910981
468	0.2242764868
469	0.2241989299
470	0.2240680371
471	0.2239521402
472	0.2238233166
473	0.2236400975
474	0.2234482855
475	0.2232853136
476	0.2231536249
477	0.2230694779
478	0.2229616421
479	0.2228523127
480	0.2225905656
481	0.2224326699
482	0.2222952684
483	0.2220578437
484	0.2219403343
485	0.2218176261
486	0.2216004918
487	0.2214301862
488	0.2212699665
489	0.2211139927
490	0.2209571708
491	0.2208451128
492	0.2207441361
493	0.2206571382
494	0.2205819861
495	0.22042436
496	0.2202881129
497	0.2201771283
498	0.2200410883
499	0.219934944
500	0.2198612658
501	0.2197203593
502	0.2195924746
503	0.2194592287
504	0.2192865361
505	0.2191584701
506	0.2190349017
507	0.2189093882
508	0.2187453394
509	0.218633794
510	0.2184939524
511	0.218393641
512	0.2182844912
513	0.2181797211
514	0.2180907091
515	0.2178180848
516	0.2177156563
517	0.2174773577
518	0.2173809655
519	0.2172365897
520	0.2171262424
521	0.2170298132
522	0.2168876528
523	0.216742003
524	0.2166091248
525	0.2165168159
526	0.2163830189
527	0.2160735667
528	0.2159740444
529	0.2158804301
530	0.215699061
531	0.2155448338
532	0.2154648201
533	0.2151258815
534	0.2150019884
535	0.2148825582
536	0.2146994615
537	0.2144893707
538	0.214316069
539	0.2142185097
540	0.2141189212
541	0.2139571053
542	0.2138634325
543	0.2137355215
544	0.2136177219
545	0.2134624239
546	0.2133498411
547	0.2132143577
548	0.2130425931
549	0.2129211865
550	0.2127341778
551	0.2126198068
552	0.2125104888
553	0.2124070538
554	0.212269641
555	0.2121113023
556	0.2120011098
557	0.2117870894
558	0.2116320515
559	0.2114630357
560	0.2113794067
561	0.211220428
562	0.2109959187
563	0.2108599812
564	0.2106894031
565	0.2105557516
566	0.2104657684
567	0.2103373545
568	0.2102269795
569	0.2099706729
570	0.2098673213
571	0.2095828455
572	0.2094325989
573	0.209353179
574	0.2091955393
575	0.2090555329
576	0.2089477418
577	0.2087755947
578	0.2086784046
579	0.2086073039
580	0.2085405497
581	0.2084108078
582	0.2081953143
583	0.2081222252
584	0.2080280738
585	0.2079197772
586	0.207817726
587	0.2077123075
588	0.2075878424
589	0.2074981982
590	0.2073250039
591	0.2071226158
592	0.2070084421
593	0.2068883334
594	0.2067992425
595	0.2067164759
596	0.2066191155
597	0.2065013938
598	0.2064246698
599	0.2063013341
600	0.2061673994
601	0.2060142766
602	0.2059119797
603	0.2058141665
604	0.2056715716
605	0.2054956922
606	0.2054280279
607	0.2053130968
608	0.2051958416
609	0.2050727777
610	0.2049395419
611	0.2048234367
612	0.2047208941
613	0.2045639057
614	0.2044124861
615	0.204322
616	0.2041934717
617	0.2040554892
618	0.2039139064
619	0.2038035449
620	0.2037036695
621	0.2035955583
622	0.2034576124
623	0.2033381944
624	0.2032026073
625	0.2030407414
626	0.2028646796
627	0.2027593386
628	0.2026803185
629	0.2025690886
630	0.2024607025
631	0.2023256893
632	0.2021074101
633	0.2019823136
634	0.2018721186
635	0.2017152012
636	0.2016072881
637	0.2014867231
638	0.2013350686
639	0.2012096458
640	0.2011201299
641	0.20102621
642	0.2009346066
643	0.2007145314
644	0.2005778617
645	0.2004482923
646	0.2003654194
647	0.2002063932
648	0.2000526709
649	0.1999467918
650	0.1997255267
651	0.1995524771
652	0.1994596024
653	0.1993805454
654	0.1993081268
655	0.1991812145
656	0.1990260285
657	0.1988425994
658	0.1985450013
659	0.1984704768
660	0.1983517631
661	0.1982678298
662	0.1982065584
663	0.1980344809
664	0.1978640253
665	0.197763656
666	0.1976589248
667	0.1975298165
668	0.1974446317
669	0.1972881138
670	0.197220618
671	0.197054195
672	0.196954517
673	0.1968408644
674	0.1967241497
675	0.196633501
676	0.1965065737
677	0.1964181273
678	0.1962829551
679	0.1961723682
680	0.196078038
681	0.1959856549
682	0.1957868562
683	0.1957040953
684	0.1956069206
685	0.1953940591
686	0.1952564822
687	0.1951893126
688	0.1950832286
689	0.1949519566
690	0.1948952798
691	0.1947489491
692	0.1945679161
693	0.1943783256
694	0.1942981905
695	0.1941268458
696	0.1940482365
697	0.1939332625
698	0.1938473102
699	0.1936922549
700	0.1935409685
701	0.1933554716
702	0.1932671223
703	0.1931249288
704	0.1930124058
705	0.1928882523
706	0.1927731169
707	0.1926953504
708	0.1925919439
709	0.1924770701
710	0.192367511
711	0.1923148029
712	0.1922130164
713	0.1920902641
714	0.1919504319
715	0.1918816163
716	0.1917452158
717	0.1916526098
718	0.1914902545
719	0.1914246457
720	0.1912933208
721	0.1912265719
722	0.1911220602
723	0.1909292278
724	0.1908589477
725	0.1907635997
726	0.1906819796
727	0.1905857996
728	0.1904505671
729	0.1903749452
730	0.1902551657
731	0.1901388694
732	0.1900480072
733	0.1899332058
734	0.1897347386
735	0.1896638964
736	0.1895824722
737	0.1893889856
738	0.1893378366
739	0.1891922897
740	0.1890516102
741	0.1889792774
742	0.1888688953
743	0.1886984043
744	0.1886069151
745	0.1884747855
746	0.1883282218
747	0.1882069437
748	0.188119236
749	0.1880192376
750	0.1878684078
751	0.1877549214
752	0.1876530502
753	0.18754842
754	0.1874860227
755	0.1873959793
756	0.1873031021
757	0.1871877911
758	0.1870340706
759	0.1868459946
760	0.1866535459
761	0.1865816518
762	0.186471385
763	0.1863764207
764	0.1862851968
765	0.186232557
766	0.1861577844
767	0.1860519228
768	0.1859574342
769	0.1858623559
770	0.1857293173
771	0.1856569802
772	0.1855336941
773	0.1854364703
774	0.1853111083
775	0.1851472892
776	0.1850275164
777	0.1849243213
778	0.1848590617
779	0.1847716247
780	0.1846014261
781	0.1845207302
782	0.1844382402
783	0.1843361302
784	0.1842132841
785	0.1841687084
786	0.1840335009
787	0.1838758958
788	0.1837785328
789	0.1837116106
790	0.1836006346
791	0.1835172981
792	0.1834228419
793	0.1833073126
794	0.1832209432
795	0.1831323735
796	0.1830227678
797	0.1828561888
798	0.1826995629
799	0.1825293419
800	0.1824260811
801	0.1822952879
802	0.1821132209
803	0.1820384179
804	0.1818615566
805	0.1817952981
806	0.1816921546
807	0.1815906031
808	0.1814608651
809	0.1813569655
810	0.1812669296
811	0.1811606398
812	0.1809776093
813	0.1808645186
814	0.180723993
815	0.1806511223
816	0.1805570855
817	0.1804753504
818	0.1803618151
819	0.180298641
820	0.180229348
821	0.1801521412
822	0.1800024631
823	0.1798428668
824	0.1798173139
825	0.1797641352
826	0.1796651441
827	0.1795863861
828	0.1794865641
829	0.1793405659
830	0.1792263929
831	0.1791729198
832	0.1790491711
833	0.1789758451
834	0.1788887462
835	0.1788177051
836	0.1787376075
837	0.17864193
838	0.1785155362
839	0.1784690112
840	0.1783331715
841	0.1782323356
842	0.1781297025
843	0.1780419043
844	0.1779456769
845	0.1778321676
846	0.1777831
847	0.1777279394
848	0.1776456317
849	0.1775686665
850	0.1774570287
851	0.1773934731
852	0.177315168
853	0.1771963882
854	0.177132153
855	0.1770649157
856	0.1769725777
857	0.1768288697
858	0.1767481854
859	0.1766065301
860	0.1765718244
861	0.1765112788
862	0.1764249033
863	0.1763254994
864	0.1762733815
865	0.1761873406
866	0.1761017851
867	0.1760102921
868	0.175914049
869	0.1758321211
870	0.1757441522
871	0.1756125491
872	0.1755339776
873	0.175439983
874	0.1753644075
875	0.1752262061
876	0.1751097578
877	0.1749872118
878	0.1748593067
879	0.1747920731
880	0.1746762038
881	0.1745952255
882	0.1745228193
883	0.1744664409
884	0.1744007065
885	0.1743519888
886	0.1742751153
887	0.174191538
888	0.1741131242
889	0.1740456091
890	0.1739433897
891	0.1739046574
892	0.1738085996
893	0.1737388464
894	0.1736899518
895	0.1736310624
896	0.1735570928
897	0.1735113117
898	0.1734572778
899	0.1733567461
900	0.1732155391
901	0.1730521683
902	0.1729973907
903	0.1729042007
904	0.172816986
905	0.1727414166
906	0.1726881795
907	0.1725657953
908	0.1725000643
909	0.172413591
910	0.1723346487
911	0.1722245572
912	0.1720881072
913	0.1720141155
914	0.171874507
915	0.1717982693
916	0.1717122989
917	0.1716627806
918	0.1715740836
919	0.1714527465
920	0.1713810603
921	0.1713062185
922	0.1711955756
923	0.1711140355
924	0.1710572274
925	0.1709842974
926	0.1709107994
927	0.1708422312
928	0.1707445803
929	0.1706672827
930	0.1705914934
931	0.1704958217
932	0.1703997437
933	0.1702663543
934	0.1701322047
935	0.170039916
936	0.1699554486
937	0.1698378405
938	0.1696845036
939	0.1695888808
940	0.1694988945
941	0.1693841539
942	0.1693102248
943	0.169238741
944	0.1691442194
945	0.1690690561
946	0.1689667448
947	0.1688879352
948	0.1687954993
949	0.1686919769
950	0.1686110098
951	0.1685344921
952	0.1684876715
953	0.1684091848
954	0.1683751902
955	0.1683001894
956	0.1682343123
957	0.1681370774
958	0.1680828525
959	0.1680230823
960	0.1679364282
961	0.1678922214
962	0.1677584193
963	0.1676954619
964	0.167634044
965	0.167539671
966	0.1674104537
967	0.1673311736
968	0.1672851482
969	0.1672009674
970	0.1670891279
971	0.1670404422
972	0.1669870815
973	0.1668961094
974	0.1668423614
975	0.1667659199
976	0.1665902166
977	0.1665223676
978	0.1664588551
979	0.1664116524
980	0.1663433995
981	0.1662850035
982	0.166201409
983	0.1661422775
984	0.16608081
985	0.1659936795
986	0.1658991725
987	0.1657755305
988	0.165690947
989	0.1655791699
990	0.1654827318
991	0.1654061391
992	0.1653141813
993	0.1652225345
994	0.1651695098
995	0.1651265167
996	0.165080479
997	0.1649565274
998	0.1648874567
999	0.1648344533
