iter	Passed	Remaining
763	3554	1098
764	3559	1093
765	3563	1088
766	3568	1084
767	3572	1079
768	3577	1074
769	3581	1069
770	3586	1065
771	3590	1060
772	3595	1055
773	3599	1051
774	3604	1046
775	3609	1041
776	3613	1037
777	3618	1032
778	3622	1027
779	3627	1023
780	3632	1018
781	3636	1013
782	3641	1009
783	3645	1004
784	3650	999
785	3654	995
786	3659	990
787	3664	985
788	3668	981
789	3673	976
790	3678	971
791	3682	967
792	3686	962
793	3691	957
794	3696	953
795	3701	948
796	3706	944
797	3710	939
798	3715	934
799	3720	930
800	3724	925
801	3729	920
802	3733	915
803	3738	911
804	3742	906
805	3747	901
806	3751	897
807	3756	892
808	3760	887
809	3765	883
810	3769	878
811	3774	873
812	3778	869
813	3783	864
814	3787	859
815	3792	855
816	3796	850
817	3801	845
818	3805	841
819	3810	836
820	3814	831
821	3819	827
822	3824	822
823	3829	817
824	3833	813
825	3837	808
826	3842	803
827	3847	799
828	3851	794
829	3856	789
830	3861	785
831	3866	780
832	3870	776
833	3875	771
834	3880	766
835	3885	762
836	3890	757
837	3896	753
838	3901	748
839	3906	744
840	3911	739
841	3917	735
842	3923	730
843	3928	726
844	3935	721
845	3941	717
846	3948	713
847	3953	708
848	3959	704
849	3965	699
850	3970	695
851	3976	690
852	3981	686
853	3987	681
854	3992	677
855	3997	672
856	4001	667
857	4006	663
858	4011	658
859	4016	653
860	4020	649
861	4025	644
862	4030	639
863	4035	635
864	4040	630
865	4045	625
866	4050	621
867	4055	616
868	4059	612
869	4064	607
870	4069	602
871	4074	598
872	4079	593
873	4084	588
874	4088	584
875	4093	579
876	4098	574
877	4102	570
878	4107	565
879	4111	560
880	4116	556
881	4120	551
882	4125	546
883	4129	541
884	4134	537
885	4138	532
886	4143	527
887	4147	523
888	4152	518
889	4156	513
890	4161	509
891	4166	504
892	4170	499
893	4174	495
894	4179	490
895	4183	485
896	4188	480
897	4193	476
898	4197	471
899	4202	466
900	4206	462
901	4211	457
902	4216	452
903	4221	448
904	4226	443
905	4230	438
906	4235	434
907	4239	429
908	4244	424
909	4249	420
910	4253	415
911	4258	410
912	4263	406
913	4267	401
914	4272	396
915	4277	392
916	4281	387
917	4286	382
918	4290	378
919	4294	373
920	4299	368
921	4304	364
922	4309	359
923	4313	354
924	4318	350
925	4323	345
926	4327	340
927	4332	336
928	4336	331
929	4341	326
930	4345	322
931	4350	317
932	4354	312
933	4359	308
934	4364	303
935	4368	298
936	4373	294
937	4377	289
938	4382	284
939	4387	280
940	4391	275
941	4396	270
942	4401	266
943	4406	261
944	4410	256
945	4415	252
946	4419	247
947	4424	242
948	4429	238
949	4433	233
950	4438	228
951	4442	224
952	4447	219
953	4451	214
954	4456	209
955	4460	205
956	4465	200
957	4469	195
958	4474	191
959	4479	186
960	4484	181
961	4488	177
962	4493	172
963	4497	167
964	4502	163
965	4507	158
966	4511	153
967	4516	149
968	4520	144
969	4525	139
970	4530	135
971	4534	130
972	4539	125
973	4543	121
974	4547	116
975	4552	111
976	4556	107
977	4561	102
978	4565	97
979	4570	93
980	4575	88
981	4579	83
982	4584	79
983	4588	74
984	4593	69
985	4597	65
986	4602	60
987	4606	55
988	4611	51
989	4615	46
990	4620	41
991	4624	37
992	4629	32
993	4634	27
994	4638	23
995	4643	18
996	4647	13
997	4652	9
998	4657	4
999	4661	0
